condition,layer,k,branch,chain,level,pr
refinement,0,4,deflate_top4,rescue_drone,2,5.805998000249558
refinement,0,4,deflate_top4,rescue_drone,3,5.72322064093601
refinement,0,4,deflate_top4,rescue_drone,4,5.442391479103623
refinement,0,4,deflate_top4,research_university,0,5.125409116151852
refinement,0,4,deflate_top4,research_university,1,5.597314173344404
refinement,0,4,deflate_top4,research_university,2,5.33471126083636
refinement,0,4,deflate_top4,research_university,3,5.765948851047889
refinement,0,4,deflate_top4,research_university,4,5.378989714216868
refinement,0,5,deflate_top5,apartment_building,0,4.828727065549671
refinement,0,5,deflate_top5,apartment_building,1,5.180641646359204
refinement,0,5,deflate_top5,apartment_building,2,5.877818491074723
refinement,0,5,deflate_top5,apartment_building,3,4.205585885204155
refinement,0,5,deflate_top5,apartment_building,4,4.354692382641574
refinement,0,5,deflate_top5,emergency_vehicle,0,5.838214677008635
refinement,0,5,deflate_top5,emergency_vehicle,1,5.025364857083938
refinement,0,5,deflate_top5,emergency_vehicle,2,5.3048588291269185
refinement,0,5,deflate_top5,emergency_vehicle,3,5.603419552822983
refinement,0,5,deflate_top5,emergency_vehicle,4,5.556857248492942
refinement,0,5,deflate_top5,employment_agreement,0,4.703155923746785
refinement,0,5,deflate_top5,employment_agreement,1,5.27281514272388
refinement,0,5,deflate_top5,employment_agreement,2,5.338403716619981
refinement,0,5,deflate_top5,employment_agreement,3,5.622284638203633
refinement,0,5,deflate_top5,employment_agreement,4,4.3527677955674084
refinement,0,5,deflate_top5,forensic_hospital,0,5.800035284653169
refinement,0,5,deflate_top5,forensic_hospital,1,5.038612952596425
refinement,0,5,deflate_top5,forensic_hospital,2,5.767970111399916
refinement,0,5,deflate_top5,forensic_hospital,3,4.8873289803430655
refinement,0,5,deflate_top5,forensic_hospital,4,5.252201149664229
refinement,0,5,deflate_top5,graph_database,0,5.401737350491386
refinement,0,5,deflate_top5,graph_database,1,5.398458438324706
refinement,0,5,deflate_top5,graph_database,2,5.068146934284042
refinement,0,5,deflate_top5,graph_database,3,4.921468604467808
refinement,0,5,deflate_top5,graph_database,4,5.130831778058012
refinement,0,5,deflate_top5,hiking_boot,0,5.047559133557065
refinement,0,5,deflate_top5,hiking_boot,1,3.8072514399246287
refinement,0,5,deflate_top5,hiking_boot,2,5.375514668041699
refinement,0,5,deflate_top5,hiking_boot,3,5.723023898791899
refinement,0,5,deflate_top5,hiking_boot,4,4.924784217165523
refinement,0,5,deflate_top5,medical_consent,0,5.566112040175404
refinement,0,5,deflate_top5,medical_consent,1,4.8086355616129035
refinement,0,5,deflate_top5,medical_consent,2,5.632848401447147
refinement,0,5,deflate_top5,medical_consent,3,4.525700221268908
refinement,0,5,deflate_top5,medical_consent,4,4.844520675182681
refinement,0,5,deflate_top5,refugee_shelter,0,5.558863409187088
refinement,0,5,deflate_top5,refugee_shelter,1,5.2278119075659735
refinement,0,5,deflate_top5,refugee_shelter,2,5.195599815070583
refinement,0,5,deflate_top5,refugee_shelter,3,5.4913957829368485
refinement,0,5,deflate_top5,refugee_shelter,4,5.2795397421925045
refinement,0,5,deflate_top5,rescue_drone,0,5.586923143708463
refinement,0,5,deflate_top5,rescue_drone,1,5.411423650195079
refinement,0,5,deflate_top5,rescue_drone,2,5.7830588607491995
refinement,0,5,deflate_top5,rescue_drone,3,5.705098586281105
refinement,0,5,deflate_top5,rescue_drone,4,5.449526668907877
refinement,0,5,deflate_top5,research_university,0,5.144886666715141
refinement,0,5,deflate_top5,research_university,1,5.577160070211715
refinement,0,5,deflate_top5,research_university,2,5.3319395988951035
refinement,0,5,deflate_top5,research_university,3,5.771264723823251
refinement,0,5,deflate_top5,research_university,4,5.390597180588126
refinement,0,6,deflate_top6,apartment_building,0,4.814545169955021
refinement,0,6,deflate_top6,apartment_building,1,5.164249465919795
refinement,0,6,deflate_top6,apartment_building,2,5.873492398854282
refinement,0,6,deflate_top6,apartment_building,3,4.242487917453864
refinement,0,6,deflate_top6,apartment_building,4,4.36999521961822
refinement,0,6,deflate_top6,emergency_vehicle,0,5.83171126987632
