condition,layer,category,mean_mahalanobis,mean_l2,pair_count
top2_deflation,22,same_domain_diff_language,15.881684303283691,43.36583709716797,77760
top2_deflation,22,same_domain_same_language,14.931825637817383,32.80211639404297,19584
top2_deflation,22,different_topic_diff_language,15.874412536621094,44.80748748779297,518400
top2_deflation,22,different_topic_same_language,15.945320129394531,36.628173828125,130560
top2_deflation,23,exact_translation_diff_language,14.39517879486084,42.353172302246094,2400
top2_deflation,23,same_factor_diff_language,15.477278709411621,45.18138122558594,25920
top2_deflation,23,same_factor_same_language,13.600339889526367,32.000728607177734,5904
top2_deflation,23,same_domain_diff_language,15.872969627380371,46.49968719482422,77760
top2_deflation,23,same_domain_same_language,14.910054206848145,35.018550872802734,19584
top2_deflation,23,different_topic_diff_language,15.864788055419922,48.10206985473633,518400
top2_deflation,23,different_topic_same_language,15.944807052612305,39.26906967163086,130560
top2_deflation,24,exact_translation_diff_language,14.416812896728516,44.57051086425781,2400
top2_deflation,24,same_factor_diff_language,15.482975006103516,47.58564758300781,25920
top2_deflation,24,same_factor_same_language,13.601780891418457,33.779537200927734,5904
top2_deflation,24,same_domain_diff_language,15.863733291625977,48.97212600708008,77760
top2_deflation,24,same_domain_same_language,14.883166313171387,36.9559326171875,19584
top2_deflation,24,different_topic_diff_language,15.854978561401367,50.66612243652344,518400
top2_deflation,24,different_topic_same_language,15.936014175415039,41.511226654052734,130560
top2_deflation,25,exact_translation_diff_language,14.445164680480957,47.03736877441406,2400
top2_deflation,25,same_factor_diff_language,15.483098983764648,50.170711517333984,25920
top2_deflation,25,same_factor_same_language,13.58686351776123,35.39722442626953,5904
top2_deflation,25,same_domain_diff_language,15.851633071899414,51.58243942260742,77760
top2_deflation,25,same_domain_same_language,14.847018241882324,38.708255767822266,19584
top2_deflation,25,different_topic_diff_language,15.841131210327148,53.32005310058594,518400
top2_deflation,25,different_topic_same_language,15.923786163330078,43.524131774902344,130560
top2_deflation,26,exact_translation_diff_language,14.473108291625977,48.81959915161133,2400
top2_deflation,26,same_factor_diff_language,15.481462478637695,52.036537170410156,25920
top2_deflation,26,same_factor_same_language,13.555295944213867,36.711727142333984,5904
top2_deflation,26,same_domain_diff_language,15.839944839477539,53.447933197021484,77760
top2_deflation,26,same_domain_same_language,14.807854652404785,40.10165023803711,19584
top2_deflation,26,different_topic_diff_language,15.826946258544922,55.18704605102539,518400
top2_deflation,26,different_topic_same_language,15.910882949829102,45.0859375,130560
top2_deflation,27,exact_translation_diff_language,14.50504207611084,50.6115608215332,2400
top2_deflation,27,same_factor_diff_language,15.48728084564209,53.75136184692383,25920
top2_deflation,27,same_factor_same_language,13.532564163208008,37.504608154296875,5904
top2_deflation,27,same_domain_diff_language,15.833775520324707,55.11930465698242,77760
top2_deflation,27,same_domain_same_language,14.777585983276367,40.93946838378906,19584
top2_deflation,27,different_topic_diff_language,15.819070816040039,56.81834411621094,518400
top2_deflation,27,different_topic_same_language,15.901127815246582,46.01986312866211,130560
top2_deflation,28,exact_translation_diff_language,14.539568901062012,52.81721496582031,2400
top2_deflation,28,same_factor_diff_language,15.489285469055176,55.951148986816406,25920
top2_deflation,28,same_factor_same_language,13.521254539489746,38.59937286376953,5904
top2_deflation,28,same_domain_diff_language,15.822982788085938,57.30023193359375,77760
top2_deflation,28,same_domain_same_language,14.759651184082031,42.107120513916016,19584
top2_deflation,28,different_topic_diff_language,15.809232711791992,58.98740005493164,518400
top2_deflation,28,different_topic_same_language,15.891093254089355,47.343082427978516,130560
top2_deflation,29,exact_translation_diff_language,14.573266983032227,55.62898254394531,2400
top2_deflation,29,same_factor_diff_language,15.491955757141113,58.747013092041016,25920
top2_deflation,29,same_factor_same_language,13.511704444885254,39.9199333190918,5904
top2_deflation,29,same_domain_diff_language,15.809995651245117,60.055606842041016,77760
top2_deflation,29,same_domain_same_language,14.724848747253418,43.44917678833008,19584
top2_deflation,29,different_topic_diff_language,15.79653263092041,61.690486907958984,518400
top2_deflation,29,different_topic_same_language,15.875862121582031,48.807613372802734,130560
top2_deflation,30,exact_translation_diff_language,14.628165245056152,57.24528503417969,2400
top2_deflation,30,same_factor_diff_language,15.500781059265137,60.23649597167969,25920
top2_deflation,30,same_factor_same_language,13.49654769897461,40.68520736694336,5904
top2_deflation,30,same_domain_diff_language,15.807076454162598,61.489505767822266,77760
top2_deflation,30,same_domain_same_language,14.70906925201416,44.18891525268555,19584
top2_deflation,30,different_topic_diff_language,15.79394245147705,63.07282638549805,518400
top2_deflation,30,different_topic_same_language,15.873242378234863,49.615447998046875,130560
top2_deflation,31,exact_translation_diff_language,14.669608116149902,64.12001037597656,2400
top2_deflation,31,same_factor_diff_language,15.50311279296875,65.72239685058594,25920
top2_deflation,31,same_factor_same_language,13.521283149719238,40.90574264526367,5904
top2_deflation,31,same_domain_diff_language,15.796802520751953,66.94999694824219,77760
top2_deflation,31,same_domain_same_language,14.716546058654785,44.67862319946289,19584
top2_deflation,31,different_topic_diff_language,15.790909767150879,68.4551010131836,518400
top2_deflation,31,different_topic_same_language,15.887707710266113,50.373779296875,130560
top2_deflation,32,exact_translation_diff_language,14.924530982971191,54.744041442871094,2400
top2_deflation,32,same_factor_diff_language,15.592554092407227,55.58042907714844,25920
top2_deflation,32,same_factor_same_language,13.435774803161621,31.304105758666992,5904
top2_deflation,32,same_domain_diff_language,15.84672737121582,56.43857192993164,77760
top2_deflation,32,same_domain_same_language,14.81452465057373,34.33879470825195,19584
top2_deflation,32,different_topic_diff_language,15.842851638793945,57.561710357666016,518400
top2_deflation,32,different_topic_same_language,15.936014175415039,38.87458419799805,130560
top3_deflation,0,exact_translation_diff_language,15.476715087890625,0.3181595504283905,2400
top3_deflation,0,same_factor_diff_language,15.63834285736084,0.32148560881614685,25920
top3_deflation,0,same_factor_same_language,13.053765296936035,0.26673194766044617,5904
top3_deflation,0,same_domain_diff_language,15.713783264160156,0.3232676088809967,77760
top3_deflation,0,same_domain_same_language,14.99855899810791,0.29457056522369385,19584
top3_deflation,0,different_topic_diff_language,15.736201286315918,0.3251449465751648,518400
top3_deflation,0,different_topic_same_language,15.889503479003906,0.31760352849960327,130560
top3_deflation,1,exact_translation_diff_language,15.545862197875977,9.116266250610352,2400
top3_deflation,1,same_factor_diff_language,15.717462539672852,9.266718864440918,25920
top3_deflation,1,same_factor_same_language,13.371051788330078,7.750458717346191,5904
