condition,layer,category,mean_cosine,mean_l2,pair_count
language_residualized,13,different_topic_diff_language,0.03175343573093414,65.75066375732422,518400
language_residualized,13,different_topic_same_language,0.028213568031787872,65.9865951538086,130560
top5_deflation,13,exact_translation_diff_language,0.23286937177181244,18.161603927612305,2400
top5_deflation,13,same_factor_diff_language,0.1064450591802597,19.68822479248047,25920
top5_deflation,13,same_factor_same_language,0.27442237734794617,17.68637466430664,5904
top5_deflation,13,same_domain_diff_language,0.030594229698181152,20.511445999145508,77760
top5_deflation,13,same_domain_same_language,0.13563059270381927,19.284801483154297,19584
top5_deflation,13,different_topic_diff_language,-0.021555135026574135,21.06442642211914,518400
top5_deflation,13,different_topic_same_language,0.009400238282978535,20.785045623779297,130560
raw,14,exact_translation_diff_language,0.9848723411560059,72.1264419555664,2400
raw,14,same_factor_diff_language,0.9833049774169922,85.58861541748047,25920
raw,14,same_factor_same_language,0.9934739470481873,59.689239501953125,5904
raw,14,same_domain_diff_language,0.9826121926307678,86.64086151123047,77760
raw,14,same_domain_same_language,0.9923396706581116,58.91383361816406,19584
raw,14,different_topic_diff_language,0.981673538684845,91.05708312988281,518400
raw,14,different_topic_same_language,0.9907441735267639,66.20719909667969,130560
language_residualized,14,exact_translation_diff_language,0.6079461574554443,32.47163772583008,2400
language_residualized,14,same_factor_diff_language,0.18858616054058075,58.202850341796875,25920
language_residualized,14,same_factor_same_language,0.18378014862537384,59.689239501953125,5904
language_residualized,14,same_domain_diff_language,0.14192621409893036,59.9613151550293,77760
language_residualized,14,same_domain_same_language,0.16911573708057404,58.91383743286133,19584
language_residualized,14,different_topic_diff_language,0.030826272442936897,65.95795440673828,518400
language_residualized,14,different_topic_same_language,0.027018869295716286,66.20719909667969,130560
top5_deflation,14,exact_translation_diff_language,0.28297626972198486,18.231168746948242,2400
top5_deflation,14,same_factor_diff_language,0.15043626725673676,19.981416702270508,25920
top5_deflation,14,same_factor_same_language,0.2728877067565918,18.478965759277344,5904
top5_deflation,14,same_domain_diff_language,0.0678216740489006,20.932355880737305,77760
top5_deflation,14,same_domain_same_language,0.1273326724767685,20.1933536529541,19584
top5_deflation,14,different_topic_diff_language,-0.017916686832904816,21.89874839782715,518400
top5_deflation,14,different_topic_same_language,-0.034797776490449905,22.182554244995117,130560
raw,15,exact_translation_diff_language,0.9846220016479492,72.36869812011719,2400
raw,15,same_factor_diff_language,0.9829517006874084,85.96504974365234,25920
raw,15,same_factor_same_language,0.993062436580658,60.32691955566406,5904
raw,15,same_domain_diff_language,0.9821900725364685,87.06086730957031,77760
raw,15,same_domain_same_language,0.9918311834335327,59.644012451171875,19584
raw,15,different_topic_diff_language,0.9811755418777466,91.53294372558594,518400
raw,15,different_topic_same_language,0.9901307225227356,67.0162124633789,130560
language_residualized,15,exact_translation_diff_language,0.6062175631523132,33.19343948364258,2400
language_residualized,15,same_factor_diff_language,0.188870370388031,58.904747009277344,25920
language_residualized,15,same_factor_same_language,0.18584442138671875,60.32691192626953,5904
language_residualized,15,same_domain_diff_language,0.14133533835411072,60.712276458740234,77760
language_residualized,15,same_domain_same_language,0.16914042830467224,59.64400863647461,19584
language_residualized,15,different_topic_diff_language,0.028654178604483604,66.74752807617188,518400
language_residualized,15,different_topic_same_language,0.024627527222037315,67.01620483398438,130560
top5_deflation,15,exact_translation_diff_language,0.2881454527378082,19.211172103881836,2400
top5_deflation,15,same_factor_diff_language,0.15304253995418549,21.107301712036133,25920
top5_deflation,15,same_factor_same_language,0.27440232038497925,19.537527084350586,5904
top5_deflation,15,same_domain_diff_language,0.06951189786195755,22.125925064086914,77760
top5_deflation,15,same_domain_same_language,0.12900255620479584,21.351099014282227,19584
top5_deflation,15,different_topic_diff_language,-0.01833781972527504,23.169239044189453,518400
top5_deflation,15,different_topic_same_language,-0.034991804510354996,23.477378845214844,130560
raw,16,exact_translation_diff_language,0.9846299290657043,72.71438598632812,2400
raw,16,same_factor_diff_language,0.9828691482543945,86.29217529296875,25920
raw,16,same_factor_same_language,0.9928839206695557,60.613460540771484,5904
raw,16,same_domain_diff_language,0.9820932149887085,87.4115982055664,77760
raw,16,same_domain_same_language,0.9916301965713501,60.019775390625,19584
raw,16,different_topic_diff_language,0.9810807108879089,91.86966705322266,518400
raw,16,different_topic_same_language,0.9899134039878845,67.4006576538086,130560
language_residualized,16,exact_translation_diff_language,0.6022727489471436,33.75428771972656,2400
language_residualized,16,same_factor_diff_language,0.18839575350284576,59.27655792236328,25920
language_residualized,16,same_factor_same_language,0.18773385882377625,60.61344909667969,5904
language_residualized,16,same_domain_diff_language,0.140236034989357,61.10966491699219,77760
language_residualized,16,same_domain_same_language,0.1688883751630783,60.019775390625,19584
language_residualized,16,different_topic_diff_language,0.02762610837817192,67.11329650878906,518400
language_residualized,16,different_topic_same_language,0.023288225755095482,67.40066528320312,130560
top5_deflation,16,exact_translation_diff_language,0.28541138768196106,20.01263427734375,2400
top5_deflation,16,same_factor_diff_language,0.15096698701381683,21.97349739074707,25920
top5_deflation,16,same_factor_same_language,0.27490994334220886,20.306161880493164,5904
top5_deflation,16,same_domain_diff_language,0.06772439926862717,23.024852752685547,77760
top5_deflation,16,same_domain_same_language,0.12904475629329681,22.198091506958008,19584
top5_deflation,16,different_topic_diff_language,-0.01804540678858757,24.081632614135742,518400
top5_deflation,16,different_topic_same_language,-0.034658242017030716,24.40342903137207,130560
raw,17,exact_translation_diff_language,0.9818636178970337,75.34281921386719,2400
raw,17,same_factor_diff_language,0.9799781441688538,88.65257263183594,25920
raw,17,same_factor_same_language,0.9922531843185425,61.1119270324707,5904
raw,17,same_domain_diff_language,0.979043185710907,89.82617950439453,77760
raw,17,same_domain_same_language,0.990820586681366,60.72248840332031,19584
raw,17,different_topic_diff_language,0.9778044819831848,94.3216781616211,518400
raw,17,different_topic_same_language,0.9887900352478027,68.30719757080078,130560
language_residualized,17,exact_translation_diff_language,0.6009755730628967,34.573204040527344,2400
language_residualized,17,same_factor_diff_language,0.19301019608974457,59.90960693359375,25920
language_residualized,17,same_factor_same_language,0.1951625943183899,61.1119270324707,5904
language_residualized,17,same_domain_diff_language,0.1416977047920227,61.863677978515625,77760
language_residualized,17,same_domain_same_language,0.17156009376049042,60.72248840332031,19584
language_residualized,17,different_topic_diff_language,0.02452852949500084,67.98912811279297,518400
language_residualized,17,different_topic_same_language,0.019892284646630287,68.30719757080078,130560
top5_deflation,17,exact_translation_diff_language,0.30106857419013977,21.200429916381836,2400
top5_deflation,17,same_factor_diff_language,0.1686653345823288,23.317548751831055,25920
top5_deflation,17,same_factor_same_language,0.28961798548698425,21.526676177978516,5904
top5_deflation,17,same_domain_diff_language,0.07829795777797699,24.550500869750977,77760
top5_deflation,17,same_domain_same_language,0.1397135853767395,23.647470474243164,19584
top5_deflation,17,different_topic_diff_language,-0.020358821377158165,25.851181030273438,518400
top5_deflation,17,different_topic_same_language,-0.03758402541279793,26.214616775512695,130560
raw,18,exact_translation_diff_language,0.9811339378356934,76.08890533447266,2400
raw,18,same_factor_diff_language,0.9788916110992432,89.33671569824219,25920
raw,18,same_factor_same_language,0.9913920760154724,61.43424987792969,5904
raw,18,same_domain_diff_language,0.9778679013252258,90.5625991821289,77760
raw,18,same_domain_same_language,0.9898256659507751,61.26398468017578,19584
raw,18,different_topic_diff_language,0.9765523076057434,95.11178588867188,518400
raw,18,different_topic_same_language,0.9876303672790527,69.00106048583984,130560
language_residualized,18,exact_translation_diff_language,0.5926268696784973,35.585838317871094,2400
language_residualized,18,same_factor_diff_language,0.19348964095115662,60.45419692993164,25920
